Id;Nombre;Apellido1;Apellido2;Sexo;Usuario;Contraseña;Correo;Nacimiento;Edad;Ingresos;Divorcio;NumeroLikesRecibidos;NumeroLikesOtorgados;NumeroMatches;Estado;Orientacion
20;Ángel;Estrella;Bermejo;H;angelestrella55;uM$/]Wv8WPAGpCz;angelestrella55@email.net;11/09/1982;37;424,37;No Aplica;87;97;10;Disponible;Heterosexual
21;José Luis;Muñiz;Carranza;H;muñiz84;jjZJ{SQDSQtMv={;muñiz84@correo.net;11/10/1960;59;442,75;No Aplica;53;83;2;Disponible;Heterosexual
22;María Teresa;García;Noguera;M;mar.garcia;"%iitRf3L;QVZrCG";mar.garcia@correo.com;26/11/1965;53;;SI;97;45;1;Inactivo;Heterosexual
23;Inmaculada;Nieves;Suarez;M;inmnieves;:&=T-Tb:hHM*hjU;inmnieves@mail.com;23/10/1963;56;;NO;81;92;7;Disponible;Heterosexual
24;Diego;Julián;Flores;H;diegojulian37;2iVy!j#?*N&&:5];diegojulian37@mail.com;20/06/1974;45;68,85;No Aplica;59;29;4;Inactivo;Heterosexual
25;José Luis;Morales;Puertas;H;josmorales;!x-,iDPkq6GXhA9;josmorales@mail.net;12/07/1998;21;490,26;No Aplica;84;10;1;Disponible;Heterosexual
26;María Ángeles;Miras;Castellanos;M;mmiras;X$3umv=rk*[rA(k;mmiras@email.com;7/08/1965;54;;NO;54;50;8;Disponible;Heterosexual
27;Alejandro;Duran;Fernández;H;duran68;)!hqP_XS#{LScbw;duran68@correo.es;16/10/1941;78;130,07;No Aplica;33;71;0;Inactivo;Heterosexual
28;Antonio;Rodríguez;Hernández;H;antonio.rodriguez;Q&9uX=J)nM69PX,;antonio.rodriguez@mail.es;14/07/1998;21;989,04;No Aplica;59;62;9;Inactivo;Heterosexual
29;Carlos;Rodríguez;Fernández;H;crodriguez64;"5%K@tG:;{J_n+jJ";crodriguez64@email.net;27/12/1971;47;499,89;No Aplica;50;83;3;Inactivo;Heterosexual
30;María Ángeles;Fernández;Hernández;M;mariaangelesfernandez;(-AjK/vh#SkrQg];mariaangelesfernandez@email.com;5/01/1987;32;;NO;55;39;3;Disponible;Heterosexual
31;Javier;Gutiérrez;Alvarado;H;javiergutierrez24;g},{rQeGv4tzM+[;javiergutierrez24@email.net;26/11/1988;30;679,81;No Aplica;66;20;0;Inactivo;Heterosexual
32;Isabel;Díaz;Rusu;M;isabeldiaz;dE8gR]H6Q+Z#9mh;isabeldiaz@email.net;13/10/1985;34;;SI;57;21;2;Disponible;Heterosexual
33;Antonio;Quintana;Gil;H;aquintana61;Tz$m&rTJg!+@_CM;aquintana61@email.net;25/09/1936;83;440,97;No Aplica;44;26;4;Disponible;Heterosexual
34;María Carmen;Puebla;Sánchez;M;mpuebla;",6F@K3S[b.pw;!!";mpuebla@email.com;8/04/1983;36;;NO;69;62;4;Disponible;Heterosexual
35;Josefa;Gómez;García;M;gomez30;}pmYkf?uGv)?%YD;gomez30@mail.com;14/08/1982;37;;SI;91;25;1;Disponible;Heterosexual
36;Milagros;López;Cañas;M;milagroslopez;G%u6SafJfDNHSP2;milagroslopez@correo.com;14/07/1940;79;;NO;27;10;1;Disponible;Heterosexual
37;Juana;Peláez;Zorrilla;M;juanapelaez;+R!9pVMAw8MN4jU;juanapelaez@mail.com;5/05/1994;25;;SI;38;18;2;Disponible;Heterosexual
38;Lucia;Carretero;Domínguez;M;luciacarretero;Tn{x=z$x5mthqyk;luciacarretero@mail.es;1/09/1995;24;;SI;81;20;1;Inactivo;Heterosexual
39;María Isabel;Saiz;Martin;M;saiz25;";=;t#r:nbweR%jT";saiz25@correo.com;10/09/1995;24;;NO;71;71;11;Inactivo;Heterosexual
40;María Dolores;Sánchez;Sánchez;M;mariadoloressanchez;Ez/My]nqwVJJZe&;mariadoloressanchez@correo.net;20/11/1957;61;;NO;38;6;1;Inactivo;Heterosexual
41;Milagros;Muñiz;Rubio;M;mmuñiz35;+LXikc6c2,mA7MJ;mmuñiz35@email.es;9/08/1958;61;;NO;47;97;0;Disponible;Heterosexual
42;Manuel;Arellano;Solís;H;manuelarellano;&zHgVj}P.AJ7XRW;manuelarellano@mail.es;27/10/1964;55;655,64;No Aplica;32;65;5;Disponible;Heterosexual
43;José Luis;Martínez;Cruces;H;martinez74;/CG+2G*H]2)JtU_;martinez74@mail.com;20/07/1974;45;931,84;No Aplica;71;63;1;Inactivo;Heterosexual
44;Vicente;García;Esteban;H;garcia24;nzdvJM3:UwXMfZ@;garcia24@correo.com;29/07/1971;48;810,01;No Aplica;61;22;2;Inactivo;Heterosexual
45;María;Barroso;Pérez;M;mar.barroso;H4/:NcF@6#+5kR8;mar.barroso@correo.es;17/02/1964;55;;SI;69;66;1;Disponible;Heterosexual
46;Mercedes;González;Agüera;M;mergonzalez;3?uD&e22g+[%8]B;mergonzalez@email.es;14/07/1954;65;;NO;76;72;7;Disponible;Heterosexual
47;Catalina;Arrizabalaga;Bosch;M;catalinaarrizabalaga54;ZMFauL7NR$cCG}i;catalinaarrizabalaga54@correo.net;3/12/1943;75;;SI;76;30;1;Disponible;Heterosexual
48;Miguel Ángel;Trinidad;Moreno;H;miguelangel.trinidad;9zn=bW:!_/e#?WX;miguelangel.trinidad@email.es;18/01/1994;25;856,05;No Aplica;20;6;1;Disponible;Heterosexual
49;Rafael;Ordoñez;Gaspar;H;rafordoñez;+Uj5Y$G*6g6_!Cr;rafordoñez@mail.es;1/11/1963;55;686,57;No Aplica;57;58;3;Disponible;Heterosexual
50;María Carmen;González;Gómez;M;gonzalez77;fb?*mV32XNt=Pvb;gonzalez77@correo.net;11/12/1969;49;;SI;96;67;8;Inactivo;Heterosexual
51;Ana María;Pérez;Pose;M;anperez;)kxKMHuJh]W,%}a;anperez@email.es;31/03/1970;49;;NO;52;88;6;Disponible;Heterosexual
52;María Mar;Ribas;Gómez;M;marribas;]v6(DrV.{3-#UYY;marribas@correo.net;24/03/1942;77;;NO;91;12;2;Inactivo;Heterosexual
53;Álvaro;García;Sánchez;H;alv.garcia;+dNerBh.YYN-7Cc;alv.garcia@correo.com;3/03/1991;28;104,86;No Aplica;60;29;1;Disponible;Heterosexual
54;Miguel Ángel;Bayona;Piris;H;miguebayona;ZC{5*d}6)xxe?pa;miguebayona@email.net;7/09/1953;66;999,28;No Aplica;6;90;0;Inactivo;Heterosexual
55;Rocío;Jiménez;Cortes;M;r.jimenez;c${:M[{Mb-3+X,W;r.jimenez@correo.net;17/02/1939;80;;NO;28;22;0;Disponible;Heterosexual
56;Salvador;Aguilar;Reyes;H;salvadoraguilar;";KC)USZUWP;Kzcv";salvadoraguilar@correo.net;15/02/1935;84;101,11;No Aplica;11;78;1;Disponible;Heterosexual
57;Isabel;Pérez;Salinas;M;isaperez;"-=BUTJE)&[pn;Mg";isaperez@mail.es;3/03/1936;83;;NO;66;28;2;Disponible;Heterosexual
58;Ana María;Andreu;Pitarch;M;andreu53;pTiXu({2#}_cLEe;andreu53@mail.net;24/04/1987;32;;NO;76;76;12;Inactivo;Heterosexual
59;Josefa;Juárez;Curiel;M;juarez71;)PE[J6xhyX::,Dx;juarez71@mail.net;16/12/1981;37;;NO;2;95;0;Inactivo;Heterosexual
60;María Teresa;Elizalde;Pérez;M;marelizalde;Mg7Bj_!rch3)Nn8;marelizalde@email.es;9/07/1999;20;;NO;6;42;0;Inactivo;Heterosexual
61;Lucia;Moyano;Mercado;M;luciamoyano;,[3znWc(L2)nZ%q;luciamoyano@email.es;10/03/1973;46;;SI;92;79;2;Inactivo;Heterosexual
62;Manuel;Jover;Juárez;H;jover94;=z/&$n}vSB%b[3V;jover94@correo.net;22/11/1949;69;846,72;No Aplica;86;1;0;Inactivo;Heterosexual
63;María Carmen;Álvarez;Rodríguez;M;alvarez15;.gaCthb+_te:_u};alvarez15@mail.es;25/11/1969;49;;SI;22;63;3;Disponible;Heterosexual
64;Miguel Ángel;Vega;Rodríguez;H;m.vega;r9bRYaW_h:z3]XV;m.vega@mail.net;5/07/1958;61;939,88;No Aplica;40;52;2;Disponible;Heterosexual
65;María José;Zapata;Gómez;M;mzapata1;hNtka6BEb}*i..U;mzapata1@email.es;27/10/2000;19;;NO;66;86;2;Disponible;Heterosexual
66;Jesús;Herrera;López;H;j.herrera;UeQCmE:TQ%4y*)a;j.herrera@email.net;1/02/1976;43;215,98;No Aplica;94;80;0;Disponible;Heterosexual
67;Carmen;Fernández;Romera;M;carfernandez12;"Bnr#Q;TaTMtMXAU";carfernandez12@mail.es;10/08/1954;65;;SI;82;18;0;Disponible;Heterosexual
68;Antonio;Álvarez;Martínez;H;alvarez24;BmJxZcxK4i}k2*};alvarez24@email.com;20/06/1955;64;515,83;No Aplica;84;3;0;Disponible;Heterosexual
69;Antonia;Espinosa;Ramírez;M;ant.espinosa;&6:AAU?m6eyFJjk;ant.espinosa@email.es;25/03/1973;46;;SI;92;63;8;Inactivo;Heterosexual
70;Ángel;Gaona;Zabala;H;angelgaona;u=)PPqwB].JY:e[;angelgaona@correo.com;29/11/1935;83;335,48;No Aplica;49;62;8;Disponible;Heterosexual
71;Francisco;Cruz;García;H;fra.cruz;NPd2n.Q*%[Xckjw;fra.cruz@mail.net;14/12/1943;75;384,69;No Aplica;37;66;5;Disponible;Heterosexual
72;Begoña;Herrera;López;M;begherrera59;=E:#6H+JG:g:g]9;begherrera59@correo.es;28/08/1976;43;;SI;71;38;2;Disponible;Heterosexual
73;Juana;Nieto;Prieto;M;juanieto;rf6q_qmVE[6Ccu=;juanieto@email.es;15/08/1992;27;;SI;89;48;4;Inactivo;Heterosexual
74;María Pilar;Castaño;Palomino;M;mariapilarcastaño;"5tnA;L2M)T{N(Qc";mariapilarcastaño@email.net;9/02/1986;33;;SI;45;3;0;Inactivo;Heterosexual
75;Isabel;Santiago;Navarro;M;isabelsantiago;}EAfprkxa7?c=G@;isabelsantiago@email.es;19/12/1990;28;;NO;87;27;3;Disponible;Heterosexual
76;Julia;López;Hernández;M;jlopez;HVQFCuxk!R29}aJ;jlopez@email.es;17/07/1942;77;;NO;82;23;1;Disponible;Heterosexual
77;Mónica;Ortiz;Navas;M;ortiz98;(UHTt?wZmYD2A#(;ortiz98@mail.net;13/04/1946;73;;NO;74;28;0;Inactivo;Heterosexual
78;Antonio;Fernández;Jiménez;H;antoniofernandez74;#pC}Vg/u.#gw4cG;antoniofernandez74@email.net;23/08/1976;43;87,16;No Aplica;29;64;0;Disponible;Heterosexual
79;Francisco;Velázquez;Gimeno;H;f.velazquez;{g%e=G#AKc_&V}i;f.velazquez@mail.es;8/06/1960;59;775,61;No Aplica;83;10;0;Disponible;Heterosexual
80;María Carmen;Pérez;Segarra;M;marperez81;+W}SS@iU(c=wX2h;marperez81@email.net;26/08/1945;74;;SI;56;86;1;Disponible;Heterosexual
81;María Carmen;Pintos;Egea;M;pintos5;6zbEubLYa&iX4m!;pintos5@email.net;1/03/1986;33;;NO;56;98;8;Inactivo;Heterosexual
82;Antonio;Conde;Carpintero;H;conde96;d9/mxyD@vvc7qC?;conde96@correo.es;2/09/1957;62;609,65;No Aplica;96;29;4;Disponible;Heterosexual
83;Juan;Tejeda;Ferrero;H;tejeda93;LZiNXjj4?5(+TM_;tejeda93@correo.com;24/02/1991;28;895,24;No Aplica;78;80;10;Inactivo;Heterosexual
84;Ángel;Jiménez;Martin;H;angjimenez;A[GHx.xRUw/9Qrh;angjimenez@correo.com;7/07/1961;58;651,15;No Aplica;43;46;4;Inactivo;Heterosexual
85;Josefa;Rico;Ripoll;M;josrico49;KxV:h!dz}D}6!_U;josrico49@correo.es;29/12/1989;29;;SI;17;70;0;Inactivo;Heterosexual
86;José Luis;Guijarro;Robles;H;guijarro54;"d}w%)BREvFp;djK";guijarro54@correo.es;18/04/1948;71;463,99;No Aplica;37;55;4;Inactivo;Heterosexual
87;Francisco;Salinas;Pons;H;fra.salinas;6dN9br=,7e%#vm=;fra.salinas@email.es;21/11/1949;69;563,31;No Aplica;92;64;9;Disponible;Heterosexual
88;Francisco;Leiva;Cano;H;franciscoleiva;_=B,j@uG5HMUSmv;franciscoleiva@email.com;2/06/1964;55;410,83;No Aplica;69;47;6;Inactivo;Heterosexual
89;José Luis;Osorio;Suarez;H;jososorio;3pS#7*g&QuZEGgh;jososorio@email.net;21/02/1980;39;826,18;No Aplica;37;34;4;Disponible;Heterosexual
90;Antonia;Fernández;Sánchez;M;antfernandez;CK4/Bf)m3}RL!)3;antfernandez@mail.com;19/06/1968;51;;SI;54;14;2;Inactivo;Heterosexual
91;María Pilar;Bejarano;Requena;M;mbejarano34;]BdU7h@)H9mw64W;mbejarano34@mail.net;21/04/1997;22;;SI;26;3;0;Inactivo;Heterosexual
92;Carmen;Blanca;González;M;blanca30;@3dc=Jdyv6FJv#Z;blanca30@email.com;12/10/1975;44;;SI;59;24;0;Disponible;Heterosexual
93;Teresa;Calle;Arribas;M;tcalle80;@bW4+DJu(9RKzeB;tcalle80@correo.net;15/08/1944;75;;NO;79;87;12;Inactivo;Heterosexual
94;Rosa María;Merino;Jiménez;M;rmerino;ZH:N}q&S-mCMt#D;rmerino@mail.net;27/03/1954;65;;SI;26;19;3;Disponible;Heterosexual
95;Rosa María;Reina;Alonso;M;rosreina;.?D8PHCk%BFJj6];rosreina@mail.net;17/01/1962;57;;NO;78;99;3;Inactivo;Heterosexual
96;Cristina;Ilie;Sánchez;M;cristinailie;BEHa8+.}(StJzDF;cristinailie@mail.net;29/12/1998;20;;NO;58;16;0;Inactivo;Heterosexual
97;Juan Carlos;Sanmartín;Valdivia;H;jsanmartin;JxmE3ceP:tVwT3i;jsanmartin@mail.es;5/10/1944;75;933,21;No Aplica;66;3;0;Inactivo;Heterosexual
98;Santiago;Ares;Riba;H;santiagoares65;RDH[SHpTg)LtY:f;santiagoares65@correo.com;28/05/1960;59;141,4;No Aplica;75;23;2;Disponible;Heterosexual
99;Juan;Santos;Sánchez;H;jua.santos;-$CguNg%2y,QP9E;jua.santos@correo.net;12/11/1958;60;854,3;No Aplica;3;61;0;Disponible;Heterosexual
100;Francisca;Sola;Martin;M;frasola;(b#+8e8Rb[QUuX@;frasola@correo.com;6/03/1994;25;;NO;81;88;8;Inactivo;Heterosexual
101;José Antonio;Jiménez;González;H;joseantoniojimenez;-PZGgk?.nS]2vTy;joseantoniojimenez@correo.com;24/12/1946;72;390,52;No Aplica;99;95;12;Inactivo;Heterosexual
102;Jesús;Llorens;Pérez;H;llorens76;jCf?9)J+4e]CRBJ;llorens76@mail.net;6/04/1994;25;668,22;No Aplica;77;88;11;Disponible;Heterosexual
103;Rosa;Ribas;Páez;M;ribas57;9M*pVY$#?+vJKR!;ribas57@correo.net;21/06/1978;41;;NO;8;90;0;Disponible;Heterosexual
104;José María;Garmendia;López;H;garmendia19;!u%852N2MRpd:b#;garmendia19@mail.es;28/02/1965;54;867,36;No Aplica;26;52;3;Disponible;Heterosexual
105;María Dolores;Valle;López;M;mariadolores.valle;4vR%uSe,EXBrxdT;mariadolores.valle@email.com;20/05/2001;18;;NO;13;16;2;Disponible;Heterosexual
106;Francisco Javier;Cuesta;Rivero;H;franciscojavier.cuesta;ENR4i6VPZ%}f/.S;franciscojavier.cuesta@email.com;6/02/1969;50;883,99;No Aplica;18;13;2;Inactivo;Heterosexual
107;Alejandro;Parejo;Domingo;H;aleparejo;7##E8T2XCd#8djC;aleparejo@mail.net;20/08/1994;25;231,76;No Aplica;43;29;4;Inactivo;Heterosexual
108;María Antonia;Martínez;Reverte;M;marmartinez;PJr,VnSbT-x-N46;marmartinez@email.com;5/11/1951;67;;SI;26;90;1;Inactivo;Heterosexual
109;Laura;Castillo;Saavedra;M;lcastillo;brnUe5C&R}}q{B*;lcastillo@email.com;17/09/1950;69;;SI;51;90;2;Disponible;Heterosexual
110;Ángel;Rodríguez;Hernández;H;angel.rodriguez;Nmw,ry:Zp-9zN}c;angel.rodriguez@email.es;6/12/1979;39;191,36;No Aplica;32;42;5;Inactivo;Heterosexual
111;Juan Antonio;Expósito;León;H;jua.exposito;ZBdZ:HkL(Ye+:x8;jua.exposito@email.com;13/07/1967;52;350,16;No Aplica;21;56;0;Inactivo;Heterosexual
112;Isabel;García;Jordán;M;isabel.garcia;RwHjg+HzpG!G:Rp;isabel.garcia@correo.es;7/03/1961;58;;SI;63;37;4;Disponible;Heterosexual
113;Carlos;Murillo;Cárceles;H;cmurillo67;g&{g%j*7($56gR,;cmurillo67@correo.com;30/08/1965;54;977,67;No Aplica;92;73;10;Inactivo;Heterosexual
114;Juan Carlos;Barranco;Gómez;H;jua.barranco;%+C7@}XyTRi-!g);jua.barranco@mail.com;5/03/1944;75;751,34;No Aplica;73;34;0;Disponible;Heterosexual
115;Francisco;Francés;Pereira;H;ffrances;C6iA7U}$YbM)R$m;ffrances@email.com;5/01/1954;65;182,07;No Aplica;64;45;1;Disponible;Heterosexual
116;David;Rodríguez;Duran;H;davrodriguez;"Y=Mkdhwq;8.*gxz";davrodriguez@correo.es;23/04/1948;71;508,01;No Aplica;8;44;0;Inactivo;Heterosexual
117;María Carmen;Millán;Angulo;M;marmillan;{@zvj/5TD!,jmwk;marmillan@email.com;31/08/1954;65;;NO;87;38;4;Inactivo;Heterosexual
118;María;Alonso;López;M;maralonso44;wT9#Tav!X,Hd+*H;maralonso44@email.es;28/07/1974;45;;SI;22;87;0;Disponible;Heterosexual
119;Carmen;Carranza;López;M;carmen.carranza;x@TAW8ExLy/X(mQ;carmen.carranza@email.net;1/10/1995;24;;NO;3;62;0;Disponible;Heterosexual
120;María Josefa;Ruiz;Hernández;M;m.ruiz;iue#YqaR@4mKf6b;m.ruiz@correo.es;16/12/1963;55;;SI;31;34;3;Disponible;Heterosexual
121;María Carmen;García;Prieto;M;mgarcia;.?{K4Q3uv[uT@Dq;mgarcia@mail.es;9/06/1969;50;;NO;4;10;0;Inactivo;Heterosexual
122;María José;Bello;Barquero;M;mbello;bnmYB58$d6WVJB&;mbello@email.net;30/06/1988;31;;SI;66;97;10;Inactivo;Heterosexual
123;Ramón;Carril;Ramos;H;rcarril;[d(=kqcQp.b8MAn;rcarril@mail.com;11/03/1946;73;519,5;No Aplica;22;63;2;Disponible;Heterosexual
124;María Jesús;González;Osorio;M;margonzalez;3959/-zUikUWi6i;margonzalez@email.com;1/04/1975;44;;SI;97;28;4;Inactivo;Heterosexual
125;Vicente;Ruiz;Andreu;H;ruiz96;$F/HVC*$pZhBJUM;ruiz96@email.es;21/02/1936;83;949,78;No Aplica;14;71;1;Disponible;Heterosexual
126;Pilar;Lujan;Campos;M;plujan;pq/4=Cmuu$e7w5&;plujan@email.com;16/08/1999;20;;NO;92;61;9;Disponible;Heterosexual
127;José Luis;Amorós;López;H;joseluisamoros;{7w,Hy@HxJ)Xbkv;joseluisamoros@mail.net;16/02/1975;44;797,11;No Aplica;53;72;3;Inactivo;Heterosexual
128;María Dolores;Hernando;Castañeda;M;marhernando;bpfanTdQZaJPRa@;marhernando@email.es;5/04/1992;27;;SI;58;63;8;Disponible;Heterosexual
129;Ainhoa;Torres;Macías;M;aintorres;VBpazwRSvF*.nC3;aintorres@email.com;28/07/1966;53;;SI;7;50;1;Inactivo;Heterosexual
130;Mercedes;Martin;Díaz;M;mermartin;5vURzv5AS_uh}6U;mermartin@email.com;1/06/1994;25;;NO;98;5;0;Inactivo;Heterosexual
131;Raúl;Catalá;Hernández;H;raucatala;q*,zXM[R/!Mj#R6;raucatala@mail.com;24/07/1995;24;435,75;No Aplica;100;84;1;Inactivo;Heterosexual
132;María Pilar;Gómez;Alonso;M;gomez13;Lih&cSE+6Dx}=X+;gomez13@mail.com;4/07/1975;44;;NO;56;24;1;Inactivo;Heterosexual
133;Andrea;Fernández;Sancho;M;andfernandez;";VJh$[=M6?,D)NG";andfernandez@mail.es;12/07/1974;45;;SI;57;71;1;Disponible;Heterosexual
134;Teresa;Álvarez;Costa;M;talvarez;zRqDc_Yz6]Me%Ak;talvarez@email.net;5/08/1991;28;;NO;73;52;0;Inactivo;Heterosexual
135;Sergio;González;Moyano;H;sergiogonzalez;%Qca_rae$BjNbdh;sergiogonzalez@correo.net;7/09/1977;42;396,21;No Aplica;75;61;6;Inactivo;Heterosexual
136;Jesús;García;Ballesteros;H;jgarcia;R?W-=R$_7yHn:2#;jgarcia@email.com;2/07/1969;50;245,05;No Aplica;29;38;2;Inactivo;Heterosexual
137;Sergio;Losada;Espinosa;H;s.losada;C%pW3UEuwXV:QS*;s.losada@correo.es;1/07/1943;76;203,02;No Aplica;20;5;0;Disponible;Heterosexual
138;Alfonso;Julián;Centeno;H;julian39;7V?5]axZ#vGPPU_;julian39@correo.net;9/07/1984;35;967,56;No Aplica;46;20;1;Disponible;Heterosexual
139;Álvaro;Díaz;Valero;H;alvarodiaz;Z)#qQ&ygFg(H4*R;alvarodiaz@correo.es;13/06/1951;68;569,13;No Aplica;1;50;0;Disponible;Heterosexual
140;Ángel;Álvarez;Heredia;H;aalvarez;%Tpc2p*vRN$qwP.;aalvarez@mail.com;26/04/1961;58;175,25;No Aplica;95;25;2;Inactivo;Heterosexual
141;Miguel;Muñoz;Sánchez;H;mmuñoz;]:ND+]j3ED_wr&K;mmuñoz@email.com;14/11/1974;44;930,21;No Aplica;45;8;1;Disponible;Heterosexual
142;Josefa;Bernárdez;García;M;j.bernardez;@3+?y7c2D/iXCqx;j.bernardez@email.es;10/11/1993;25;;SI;81;30;2;Inactivo;Heterosexual
143;Miguel;Roca;Alba;H;mroca;[Xz9v(NJZqw59ue;mroca@correo.es;28/10/1937;82;401,26;No Aplica;12;62;2;Inactivo;Heterosexual
144;Natalia;Nieto;Martínez;M;natalianieto;";e%TDv$u@iv*?qW";natalianieto@email.com;4/08/1939;80;;SI;30;5;0;Inactivo;Heterosexual
145;María Isabel;Elena;Ocaña;M;m.elena;mA+jTD3*WFbm*M];m.elena@email.com;8/07/1996;23;;NO;1;10;0;Disponible;Heterosexual
146;Marta;López;Mendoza;M;mlopez12;"{#D;}jc]Q6&+zZ=";mlopez12@mail.es;30/07/1937;82;;NO;54;34;1;Disponible;Heterosexual
147;Antonio;Neira;Díaz;H;a.neira;"naCZ#YFv4/;(}.U";a.neira@mail.es;29/01/1972;47;407,85;No Aplica;90;60;3;Disponible;Heterosexual
148;Miguel Ángel;Sánchez;González;H;msanchez;Z.x9&WKWU(3D&}a;msanchez@mail.es;9/08/1986;33;364,52;No Aplica;91;36;6;Inactivo;Heterosexual
149;Pilar;Robles;Vila;M;robles90;r/Dr$:W:aaEt3,G;robles90@email.com;1/02/1944;75;;SI;77;90;12;Inactivo;Heterosexual
150;Antonia;Casal;Gómez;M;antoniacasal;udc_83G@PS54jYg;antoniacasal@correo.net;29/03/1936;83;;SI;95;82;12;Inactivo;Heterosexual
151;Juan José;Godoy;Roca;H;jgodoy;HdWkE8?(H?zZCub;jgodoy@correo.net;20/07/1936;83;772,62;No Aplica;85;87;13;Disponible;Heterosexual
152;María Pilar;Navarro;Almendros;M;marinavarro;n&#C/mw.&tgPGGQ;marinavarro@email.com;18/12/1963;55;;SI;62;17;2;Inactivo;Heterosexual
153;María Dolores;Ureña;Pena;M;mariadolores.ureña;8q%/+2*VKjK(kbx;mariadolores.ureña@email.com;30/07/1992;27;;SI;90;60;5;Inactivo;Heterosexual
154;María Rosario;Peralta;Hernández;M;mperalta;-4?Z-Sr%yRt6r2#;mperalta@email.com;5/04/1949;70;;NO;98;38;3;Inactivo;Heterosexual
155;Mónica;Castillo;Párraga;M;monicacastillo;]7[=S2HezXv5p8{;monicacastillo@correo.es;30/05/1978;41;;SI;21;22;0;Disponible;Heterosexual
156;María Luisa;Del Rio;Gómez;M;marialuisade;"Ag{h;Z84*Syq,G$";marialuisade@mail.com;27/04/1961;58;;SI;52;88;7;Inactivo;Heterosexual
157;José;Cortes;Fernández;H;jcortes;";F6Sie}L,)6*G}i";jcortes@mail.net;27/07/1969;50;766,82;No Aplica;57;25;4;Inactivo;Heterosexual
158;Marta;Marcos;Viejo;M;marcos88;r+]u)e*+g[YZe,=;marcos88@correo.com;12/06/1956;63;;SI;8;43;0;Inactivo;Heterosexual
159;Rafael;García;Márquez;H;rafaelgarcia78;NcvNS(@7=9CLi3T;rafaelgarcia78@mail.com;21/10/1946;73;799,41;No Aplica;91;2;0;Disponible;Heterosexual
